==> Vault server configuration:

             Api Address: http://127.0.0.1:8200
                     Cgo: disabled
         Cluster Address: https://127.0.0.1:8201
              Listener 1: tcp (addr: "127.0.0.1:8200", cluster address: "127.0.0.1:8201", max_request_duration: "1m30s", max_request_size: "33554432", tls: "disabled")
               Log Level: info
                   Mlock: supported: false, enabled: false
           Recovery Mode: false
                 Storage: inmem
                 Version: Vault v1.3.1

WARNING! dev mode is enabled! In this mode, Vault runs entirely in-memory
and starts unsealed with a single unseal key. The root token is already
authenticated to the CLI, so you can immediately begin using Vault.

You may need to set the following environment variable:

    $ export VAULT_ADDR='http://127.0.0.1:8200'

The unseal key and root token are displayed below in case you want to
seal/unseal the Vault or re-authenticate.

Unseal Key: e4KNz19IlJZgIHkCLV2oFGgQV6x1iCo9Zwpr3VtG0pQ=
Root Token: s.qtWobMYGAWtMm0JTxVgVQDbX

Development mode should NOT be used in production installations!

==> Vault server started! Log data will stream in below:

2020-02-03T19:21:19.729-0600 [INFO]  proxy environment: http_proxy= https_proxy= no_proxy=
2020-02-03T19:21:19.731-0600 [WARN]  no `api_addr` value specified in config or in VAULT_API_ADDR; falling back to detection if possible, but this value should be manually set
2020-02-03T19:21:19.739-0600 [ERROR] core: no seal config found, can't determine if legacy or new-style shamir
2020-02-03T19:21:19.739-0600 [ERROR] core: no seal config found, can't determine if legacy or new-style shamir
2020-02-03T19:21:19.739-0600 [INFO]  core: security barrier not initialized
2020-02-03T19:21:19.740-0600 [INFO]  core: security barrier initialized: stored=1 shares=1 threshold=1
2020-02-03T19:21:19.744-0600 [INFO]  core: post-unseal setup starting
2020-02-03T19:21:19.755-0600 [INFO]  core: loaded wrapping token key
2020-02-03T19:21:19.755-0600 [INFO]  core: successfully setup plugin catalog: plugin-directory=
2020-02-03T19:21:19.755-0600 [INFO]  core: no mounts; adding default mount table
2020-02-03T19:21:19.759-0600 [INFO]  core: successfully mounted backend: type=cubbyhole path=cubbyhole/
2020-02-03T19:21:19.760-0600 [INFO]  core: successfully mounted backend: type=system path=sys/
2020-02-03T19:21:19.762-0600 [INFO]  core: successfully mounted backend: type=identity path=identity/
2020-02-03T19:21:19.765-0600 [INFO]  core: successfully enabled credential backend: type=token path=token/
2020-02-03T19:21:19.765-0600 [INFO]  core: restoring leases
2020-02-03T19:21:19.765-0600 [INFO]  rollback: starting rollback manager
2020-02-03T19:21:19.767-0600 [INFO]  expiration: lease restore complete
2020-02-03T19:21:19.768-0600 [INFO]  identity: entities restored
2020-02-03T19:21:19.768-0600 [INFO]  identity: groups restored
2020-02-03T19:21:19.768-0600 [INFO]  core: post-unseal setup complete
2020-02-03T19:21:19.769-0600 [INFO]  core: root token generated
2020-02-03T19:21:19.769-0600 [INFO]  core: pre-seal teardown starting
2020-02-03T19:21:19.769-0600 [INFO]  rollback: stopping rollback manager
2020-02-03T19:21:19.769-0600 [INFO]  core: pre-seal teardown complete
2020-02-03T19:21:19.770-0600 [ERROR] core: no seal config found, can't determine if legacy or new-style shamir
2020-02-03T19:21:19.770-0600 [INFO]  core.cluster-listener: starting listener: listener_address=127.0.0.1:8201
2020-02-03T19:21:19.770-0600 [INFO]  core.cluster-listener: serving cluster requests: cluster_listen_address=127.0.0.1:8201
2020-02-03T19:21:19.770-0600 [INFO]  core: post-unseal setup starting
2020-02-03T19:21:19.770-0600 [INFO]  core: loaded wrapping token key
2020-02-03T19:21:19.770-0600 [INFO]  core: successfully setup plugin catalog: plugin-directory=
2020-02-03T19:21:19.771-0600 [INFO]  core: successfully mounted backend: type=system path=sys/
2020-02-03T19:21:19.771-0600 [INFO]  core: successfully mounted backend: type=identity path=identity/
2020-02-03T19:21:19.771-0600 [INFO]  core: successfully mounted backend: type=cubbyhole path=cubbyhole/
2020-02-03T19:21:19.773-0600 [INFO]  core: successfully enabled credential backend: type=token path=token/
2020-02-03T19:21:19.773-0600 [INFO]  core: restoring leases
2020-02-03T19:21:19.773-0600 [INFO]  rollback: starting rollback manager
2020-02-03T19:21:19.773-0600 [INFO]  expiration: lease restore complete
2020-02-03T19:21:19.773-0600 [INFO]  identity: entities restored
2020-02-03T19:21:19.773-0600 [INFO]  identity: groups restored
2020-02-03T19:21:19.773-0600 [INFO]  core: post-unseal setup complete
2020-02-03T19:21:19.773-0600 [INFO]  core: vault is unsealed
2020-02-03T19:21:19.777-0600 [INFO]  core: successful mount: namespace= path=secret/ type=kv
2020-02-03T19:21:19.788-0600 [INFO]  secrets.kv.kv_f0e8eba6: collecting keys to upgrade
2020-02-03T19:21:19.788-0600 [INFO]  secrets.kv.kv_f0e8eba6: done collecting keys: num_keys=1
2020-02-03T19:21:19.788-0600 [INFO]  secrets.kv.kv_f0e8eba6: upgrading keys finished
2020-02-03T19:21:19.864-0600 [INFO]  core: enabled credential backend: path=approle/ type=approle
2020-02-03T19:21:19.899-0600 [INFO]  core: successful mount: namespace= path=local/jwtkeys/ type=kv
2020-02-03T19:21:19.936-0600 [INFO]  core: mount tuning of options: path=local/jwtkeys/ options=map[version:2]
